transaction_id,amount,account_age_days,transactions_last_24h,avg_amount_7d,chargeback_history,is_international,is_night_transaction,device_trusted,merchant_risk_score,ip_velocity,geo_distance_km,payment_method_risk,customer_tenure_segment,merchant_category,is_fraud
TX-100000,1250.40,18,11,240.10,2,True,True,False,0.91,26,1280.0,0.83,new,luxury,1
TX-100001,78.22,940,2,85.10,0,False,False,True,0.12,4,12.4,0.18,established,grocery,0
TX-100002,410.85,120,7,155.55,1,True,False,False,0.68,18,860.0,0.64,growing,marketplace,1
TX-100003,62.10,1440,1,59.20,0,False,False,True,0.08,2,5.1,0.11,vip,utilities,0
TX-100004,920.00,40,9,310.45,1,True,True,False,0.79,21,940.2,0.72,new,electronics,1
TX-100005,210.17,670,3,180.00,0,False,False,True,0.25,6,41.0,0.22,established,grocery,0
TX-100006,145.00,95,12,60.00,0,False,True,False,0.53,24,320.3,0.58,growing,gaming,1
TX-100007,55.48,1880,1,65.12,0,False,False,True,0.14,2,8.0,0.10,vip,utilities,0
TX-100008,3300.99,12,16,410.22,3,True,True,False,0.94,38,2220.0,0.88,new,luxury,1
TX-100009,115.43,820,2,112.90,0,False,False,True,0.16,5,18.6,0.20,established,grocery,0
